,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Amruthahalli,13.0665131,77.5966238,The Druid Garden,13.063945601216286,77.59149228078782,Brewery
1,Amruthahalli,13.0665131,77.5966238,Big Straw,13.063414271870274,77.59119200755669,Bubble Tea Shop
2,Amruthahalli,13.0665131,77.5966238,Shivas Kabab Corner,13.062748315373495,77.5917886649798,Indian Restaurant
3,Amruthahalli,13.0665131,77.5966238,Swensen's,13.063475844621166,77.59079305282464,Ice Cream Shop
4,Amruthahalli,13.0665131,77.5966238,McDonald's,13.06368733136137,77.58957301551773,Fast Food Restaurant
5,Amruthahalli,13.0665131,77.5966238,Sanjay Dhaba,13.058611505214355,77.59376660832271,Indian Restaurant
6,Amruthahalli,13.0665131,77.5966238,Swathi Gardenia,13.05910806914535,77.59318443884698,Indian Restaurant
7,Amruthahalli,13.0665131,77.5966238,"Tawa, Tandoor Aur Tadka",13.063864611494068,77.58978833872696,Indian Restaurant
8,Amruthahalli,13.0665131,77.5966238,Domino's Pizza,13.063739964135705,77.58988073523042,Pizza Place
9,Amruthahalli,13.0665131,77.5966238,Le Méridien Bangalore,13.069468350579765,77.59295564159729,Hotel
10,Amruthahalli,13.0665131,77.5966238,Byatarayanapura Bus Stop,13.070235999579115,77.59297242918474,Bus Station
11,Amruthahalli,13.0665131,77.5966238,Bhagini Deluxe,13.072371,77.59317934513092,Indian Restaurant
12,Amruthahalli,13.0665131,77.5966238,Jakkur Bus Stop,13.072998882882526,77.59300231933594,Bus Station
13,Amruthahalli,13.0665131,77.5966238,GKVK Bus Stop,13.073040685972108,77.5924015045166,Bus Station
14,Amruthahalli,13.0665131,77.5966238,Chung Wah,13.063910417392501,77.58827180723152,Chinese Restaurant
15,Banaswadi,13.0141618,77.6518539,Domino's Pizza,13.008433716613306,77.65559273293411,Pizza Place
16,Banaswadi,13.0141618,77.6518539,Saffron,13.01276296048891,77.6478365115391,Vegetarian / Vegan Restaurant
17,Banaswadi,13.0141618,77.6518539,Tamarind,13.012676074180495,77.64771141510649,Indian Restaurant
18,Banaswadi,13.0141618,77.6518539,Itsy Bitsy,13.011358260199083,77.65971128616323,Arts & Crafts Store
19,Banaswadi,13.0141618,77.6518539,Cafe Coffee Day,13.018155413330874,77.64732766979955,Café
20,Banaswadi,13.0141618,77.6518539,Nellore Mess,13.01949246225511,77.65604251806916,Andhra Restaurant
21,Banaswadi,13.0141618,77.6518539,Kanti Sweets,13.012988773786951,77.64990712994187,Indian Restaurant
22,Banaswadi,13.0141618,77.6518539,OvenTreats - Patisserie.Bistro,13.021878039926628,77.64730613653806,Bistro
23,Banaswadi,13.0141618,77.6518539,Siliguri Tea Point,13.011493561213912,77.64758040454734,Tea Room
24,Banaswadi,13.0141618,77.6518539,Angel Kerala Restaurant,13.009103,77.65031,Indian Restaurant
25,Banaswadi,13.0141618,77.6518539,Cafe Coffee Day,13.01874852531858,77.6561991142832,Café
26,Banaswadi,13.0141618,77.6518539,Banaswadi Ring Road Bus Stop,13.019482503363724,77.65452975105957,Bus Station
